Adresse,Nombre de pièces,Époque de construction,Type de location,Loyer minimum (€/m²),Loyer médian (€/m²),Loyer maximum (€/m²)
"Square de Rocamadour, 75116 Paris",2 pièces,1971-1990,meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",2 pièces,1971-1990,non meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",2 pièces,après 1990,meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",2 pièces,après 1990,non meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",3 pièces,avant 1946,meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",3 pièces,avant 1946,non meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",3 pièces,1946-1970,meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",3 pièces,1946-1970,non meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",3 pièces,1971-1990,meublée,22.3,31.8,38.2
"Square de Rocamadour, 75116 Paris",3 pièces,1971-1990,non meublée,22.3,31.8,38.2
